10.0.104.241,Routerghamgosar
10.0.104.242,ASA-WAN SSO
10.0.104.243,Fortigate-LANTamin
10.0.104.244,PAT
10.0.104.245,GSB-PGSB-Dis-F5
10.0.104.246,SSO-Rayteb
10.0.192.209,NIOGateway
10.0.192.210,NIO-Dis-F5
10.0.192.211,SOA-and-CommonWS-Dis-F5
10.0.192.212,Shahkar-SSO-Akbarnezahd
10.0.192.213,darman_ServiceCentosport6336
10.0.192.214,USEDforNat(PAT)
10.0.192.215,Akbarnezahd-Directed-IP
10.0.192.216,
10.0.192.217,"PAT-Eblagh-Node1,Eblagh-Node2,Eblagh-Node3"
10.0.192.218,VPN-Server-Rezai-SSO
10.10.10.12,LB-2-0
10.10.10.13,LB-2-1
10.10.10.14,LB-Samt-TCT-0
10.10.10.15,LB-Samt-TCT-1
10.10.10.16,LB-4-0
10.10.10.17,LB-4-1
10.10.10.18,LB-Samt-Rightel-0
10.10.10.19,LB-Samt-Rightel-1
10.10.10.20,LB-Samt-WAN-0
10.10.10.21,LB-Samt-WAN-1
10.10.10.22,LB-Samt-Rightel(2)-0
10.10.10.23,LB-Samt-Rightel(2)-1
10.10.10.24,LB-Medical-Support(2)-0
10.10.10.25,LB-Medical-Support(2)-1
10.10.10.26,LB-Medical-Support(3)-0
10.10.10.27,LB-Medical-Support(3)-1
10.10.10.28,LB-Medical-Support(1)-0
10.10.10.29,LB-Medical-Support(1)-1
10.10.10.30,LB-VZK-0
10.10.10.31,LB-VZK-1
10.10.10.32,LB-Samt-Melli(1)-0
10.10.10.33,LB-Samt-Melli(1)-1
10.10.10.34,LB-Samt-Melli(2)-0
10.10.10.35,LB-Samt-Melli(2)-1
10.10.10.36,LB-EP-Melli(1)-0
10.10.10.37,LB-EP-Melli(1)-1
10.10.10.38,LB-EP-Melli(2)-0
10.10.10.39,LB-EP-Melli(2)-1
10.10.10.40,LB-Test-0
10.10.10.41,LB-Test-1
10.10.10.42,LB-Eservice-Melli-0
10.10.10.43,LB-Eservice-Melli-1
10.10.10.44,LB-3-0
10.10.10.45,LB-3-1
10.10.10.46,LB-GSB-PGSB-0
10.10.10.47,LB-GSB-PGSB-1
10.10.10.48,LB-Accounting-0
