CVE,Risk,Host,Port,Name,Synopsis,Solution,See Also
CVE-2016-2183,High,172.16.0.10,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-1999-0517,High,172.16.0.105,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.106,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.108,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.109,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
,Critical,172.16.0.109,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
CVE-2012-1675,High,172.16.0.109,1521,Oracle TNS Listener Remote Poisoning,It was possible to register with a remote Oracle TNS listener.,Apply the workaround in Oracle's advisory.,"http://www.nessus.org/u?8c8334e6
http://www.nessus.org/u?06d298e5
https://seclists.org/fulldisclosure/2012/Apr/204"
CVE-2016-2183,High,172.16.0.11,443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,172.16.0.111,1433,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568"
CVE-2004-2761,High,172.16.0.111,1433,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,172.16.0.111,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,172.16.0.112,1433,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568"
CVE-2004-2761,High,172.16.0.112,1433,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,172.16.0.112,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2016-2183,High,172.16.0.115,443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2016-2183,High,172.16.0.115,2445,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2016-2183,High,172.16.0.115,8443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2016-2183,High,172.16.0.116,443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2016-2183,High,172.16.0.116,5061,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2016-2183,High,172.16.0.116,5222,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2016-2183,High,172.16.0.116,8083,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2016-2183,High,172.16.0.116,8443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,172.16.0.119,80,Unsupported Web Server Detection,The remote web server is obsolete / unsupported.,"Remove the web server if it is no longer needed. Otherwise, upgrade to a
supported version if possible or switch to another server.",
,Critical,172.16.0.119,443,Unsupported Web Server Detection,The remote web server is obsolete / unsupported.,"Remove the web server if it is no longer needed. Otherwise, upgrade to a
supported version if possible or switch to another server.",
,Critical,172.16.0.119,0,Unsupported Windows OS (remote),The remote OS or service pack is no longer supported.,Upgrade to a supported service pack or operating system,https://support.microsoft.com/en-us/lifecycle
CVE-1999-0517,High,172.16.0.122,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.124,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-2010-5298,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-0195,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-0198,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-0221,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-0224,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3470,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3505,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
